alias,Condition 1,Condition 2,Condition 3,Condition 4,Condition 5,Condition 6,Condition 7,Condition 8,Condition 9,Condition 10,Condition 11,Condition 12,Condition 13,Condition 14,systematic_name,description,short_description,secretome,other_criterion,color
ATP8,1.45,0,2.04,0,1.61,0,0.81,1.11,0.54,1.13,1.61,0.28,1.91,0,Q0080,Subunit 8 of the F0 sector of mitochondrial F1F0 ATP synthase; encoded on the mitochondrial genome; ATP8 and ATP6 mRNAs are not translated in the absence of the F1 sector of ATPase,Subunit 8 of the F0 sector of mitochondr...,False,False,red
MDM10,13.49,4.33,18.76,9.47,10.67,10.44,10.71,8.33,8.55,5.24,11.8,6.17,16.25,8.69,YAL010C,"Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology",Subunit of both the ERMES and the SAM co...,False,True,red
FUN26,42.26,318.79,47.93,221.68,45.78,39.9,40.59,107.18,40.33,97.57,40.17,79.86,46.05,97.93,YAL022C,"Vacuolar membrane transporter with broad nucleoside selectivity; may regulate balance of nicotinamide riboside (NmR) levels between cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis",Vacuolar membrane transporter with broad...,True,False,red
FUN19,5.93,1.16,15.38,5,2.93,2.89,1.74,1.65,2.56,1.35,4.87,1.57,9.63,3.7,YAL034C,"Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication",Non-essential protein of unknown functio...,False,True,red
GCV3,323.29,124.61,427.92,190.04,256.75,299.96,231.48,156.51,244.92,115.86,255.28,139.54,299.64,147.75,YAL044C,"H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF",H subunit of the mitochondrial glycine d...,False,False,red
ECM1,32.39,8.1,23.28,9.64,29.42,31.98,42.36,25.9,41.42,14.81,40.8,24.58,18.3,10.23,YAL059W,Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm,Pre-ribosomal factor involved in 60S rib...,False,True,red
PAU8,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,YAL068C,Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions,Protein of unknown function; member of t...,True,False,red
SEN34,17.66,7.06,16.48,8.1,16.76,16.49,19.3,13.45,14.92,7.38,16.79,7.56,19.28,11.1,YAR008W,"Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease",Subunit of the tRNA splicing endonucleas...,False,True,red
YAT1,2.72,1.3,4.65,2.16,2.67,2.7,2.7,2.08,1.79,1.32,2.1,0.86,3.58,2.12,YAR035W,Outer mitochondrial carnitine acetyltransferase; minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated,Outer mitochondrial carnitine acetyltran...,False,False,red
LDB7,55.9,24.97,86.9,34.43,54.11,63.49,51.03,36.02,46.28,24.87,53.22,29.83,60.31,33.1,YBL006C,"Component of the RSC chromatin remodeling complex; interacts with Rsc3p, Rsc30p, Npl6p, and Htl1p to form a module important for a broad range of RSC functions",Component of the RSC chromatin remodelin...,False,True,red
POP8,48.5,19.02,33.97,21.56,48.75,47.79,64.9,42.75,56.44,28.8,56.73,34.99,37.06,19.42,YBL018C,"Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; relocalizes to the cytosol in response to hypoxia",Subunit of both RNase MRP and nuclear RN...,False,False,red
YBL029C-A,34.97,11.21,51.65,22.6,23.09,27.63,28.75,15.77,29.75,13.19,33.34,18.96,49.89,20.29,YBL029C-A,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery; protein abundance increases in response to DNA replication stress; has potential orthologs in Saccharomyces species and in Yarrowia lipolytica,Protein of unknown function; green fluor...,False,True,red
ERD2,146.82,463.88,189.82,584.75,120.71,106.22,149.91,368.68,103.24,408.05,134.18,368.08,184.23,435.72,YBL040C,HDEL receptor; an integral membrane protein that binds to the HDEL motif in proteins destined for retention in the endoplasmic reticulum; has a role in maintenance of normal levels of ER-resident proteins,HDEL receptor; an integral membrane prot...,True,False,red
TOD6,11.93,5.54,10.28,4.34,15.37,15.54,15.08,8.54,16.2,6.94,20.84,8.94,6.32,2.35,YBL054W,"PAC motif binding protein involved in rRNA and ribosome biogenesis; subunit of the RPD3L histone deacetylase complex; Myb-like HTH transcription factor; hypophosphorylated by rapamycin treatment in a Sch9p-dependent manner; TOD6 has a paralog, DOT6, that arose from the whole genome duplication",PAC motif binding protein involved in rR...,False,True,red
UBP13,19.36,6.45,24.62,11.96,17.45,17.02,20.28,14.32,17.6,13.25,19.36,14.81,20.6,16.32,YBL067C,"Ubiquitin-specific protease that cleaves Ub-protein fusions; UBP13 has a paralog, UBP9, that arose from the whole genome duplication",Ubiquitin-specific protease that cleaves...,False,False,red
YBL081W,30.6,8.88,26.58,10.82,29.66,27.12,24.56,13.08,24.86,8.63,29.58,12.74,17.2,7.86,YBL081W,Non-essential protein of unknown function; null mutation results in a decrease in plasma membrane electron transport,Non-essential protein of unknown functio...,False,True,red
ROX3,54.41,19.51,70.53,29.76,49.06,53.55,48.85,32.64,48.51,19.88,54.25,26.81,65.14,27.34,YBL093C,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme,Subunit of the RNA polymerase II mediato...,False,False,red
MIX23,37.91,11.64,53.21,30.77,27.59,27.27,30.17,22.72,24.87,12.7,30.34,21.86,43.66,20.26,YBL107C,Mitochondrial intermembrane space protein of unknown function; imported via the MIA import machinery; contains an unusual twin cysteine motif (CX13C CX14C),Mitochondrial intermembrane space protei...,False,True,red
DSF2,12.94,2.83,17.11,7.44,9.5,8.76,10.81,6.6,9.06,4.01,11.12,5.77,13.58,6.27,YBR007C,Deletion suppressor of mpt5 mutation; relocalizes from bud neck to cytoplasm upon DNA replication stress,Deletion suppressor of mpt5 mutation; re...,False,False,red
GAL1,0,0.06,0.1,0,0.1,0.05,0.01,0.11,0.09,0,0.05,0.02,0.05,0,YBR020W,"Galactokinase; phosphorylates alpha-D-galactose to alpha-D-galactose-1-phosphate in the first step of galactose catabolism; expression regulated by Gal4p; GAL1 has a paralog, GAL3, that arose from the whole genome duplication",Galactokinase; phosphorylates alpha-D-ga...,False,True,red
HMT1,70.81,26.83,52.41,20.83,83.35,78.48,92.77,61.24,100.46,45.75,104.8,41.95,51,28.37,YBR034C,"Nuclear SAM-dependent mono- and asymmetric methyltransferase; modifies hnRNPs, including Npl3p and Hrp1p, affecting their activity and nuclear export; methylates U1 snRNP protein Snp1p and ribosomal protein Rps2p; interacts genetically with genes encoding components of Rpd3(L) and this interaction is important for Rpd3 recruitment to the subtelomeric region.",Nuclear SAM-dependent mono- and asymmetr...,False,False,red
ZTA1,48.99,12.31,84.83,33.7,38.49,43.52,44.42,30.58,28.33,15.5,31.9,16.14,66.7,29.38,YBR046C,NADPH-dependent quinone reductase; GFP-tagged protein localizes to the cytoplasm and nucleus; has similarity to E. coli quinone oxidoreductase and to human zeta-crystallin,NADPH-dependent quinone reductase; GFP-t...,False,True,blue
UBP14,34.31,8.49,35.7,12.34,33.42,32.9,35.87,23.28,32.07,14.18,33.78,11.42,41.82,19.9,YBR058C,"Ubiquitin-specific protease; specifically disassembles unanchored ubiquitin chains; involved in fructose-1,6-bisphosphatase (Fbp1p) degradation; similar to human isopeptidase T",Ubiquitin-specific protease; specificall...,False,False,blue
ALG14,23.59,88.48,34.55,96.04,18.54,22.83,25.26,68.63,18.4,75.6,21.03,69.58,23.45,57.63,YBR070C,Component of UDP-GlcNAc transferase; required for the second step of dolichyl-linked oligosaccharide synthesis; anchors the catalytic subunit Alg13p to the ER membrane; similar to bacterial and human glycosyltransferases,Component of UDP-GlcNAc transferase; req...,True,True,blue
UBC4,664.69,196.23,710.2,278.95,686.47,598.42,639.83,404.19,619.34,280.54,537.43,260.1,823.04,398.21,YBR082C,"Ubiquitin-conjugating enzyme (E2); key E2 partner with Ubc1p for the anaphase-promoting complex (APC); mediates degradation of abnormal or excess proteins, including calmodulin and histone H3; regulates levels of DNA Polymerase-{alpha} to promote efficient and accurate DNA replication; interacts with many SCF ubiquitin protein ligases; component of the cellular stress response; UBC4 has a paralog, UBC5, that arose from the whole genome duplication",Ubiquitin-conjugating enzyme (E2); key E...,False,False,blue
PHO3,222.92,1498.92,138.85,648.97,276.82,254.22,245.55,802.39,277.24,1673.06,277.81,1480.82,151.03,287.72,YBR092C,"Constitutively expressed acid phosphatase similar to Pho5p; brought to the cell surface by transport vesicles; hydrolyzes thiamin phosphates in the periplasmic space, increasing cellular thiamin uptake; expression is repressed by thiamin",Constitutively expressed acid phosphatas...,True,True,blue
PHO88,1010.5,4128.44,803.18,2729.51,882.71,818.15,1044.79,2666.4,866.15,3446.79,788.49,3092.11,761.05,2446.76,YBR106W,Probable membrane protein; involved in phosphate transport; role in the maturation of secretory proteins; pho88 pho86 double null mutant exhibits enhanced synthesis of repressible acid phosphatase at high inorganic phosphate concentrations,Probable membrane protein; involved in p...,True,False,blue
MUD1,21.88,4.27,28.45,14.37,16.25,16.77,18.33,8.79,16.76,6.8,20.62,11.68,24.16,10.29,YBR119W,U1 snRNP A protein; homolog of human U1-A; involved in nuclear mRNA splicing,U1 snRNP A protein; homolog of human U1-...,False,True,blue
CCZ1,7.95,3.3,10.66,5.44,6.1,6.06,7.13,5.75,6.05,5.39,8.07,7.73,7.93,5.64,YBR131W,Protein involved in vacuolar assembly; essential for autophagy and the cytoplasm-to-vacuole pathway,Protein involved in vacuolar assembly; e...,False,False,blue
ADH5,21.58,6.55,92.77,39.7,18.24,18.28,21.22,13.23,18.48,10.74,20.33,10.03,42.78,23.84,YBR145W,"Alcohol dehydrogenase isoenzyme V; involved in ethanol production; ADH5 has a paralog, ADH1, that arose from the whole genome duplication",Alcohol dehydrogenase isoenzyme V; invol...,False,True,blue
ICS2,35.29,10.76,71.99,32.87,16.36,17.24,20.89,13.42,14.17,5,27.75,13.99,25.33,10.3,YBR157C,"Protein of unknown function; null mutation does not confer any obvious defects in growth, spore germination, viability, or carbohydrate utilization",Protein of unknown function; null mutati...,False,False,blue
PEX32,8.52,17.49,14.73,27.8,7.21,6.37,8.02,14.58,7.48,18.64,8.2,15.67,10.27,18.61,YBR168W,Peroxisomal integral membrane protein; involved in negative regulation of peroxisome size; partially functionally redundant with Pex31p; genetic interactions suggest action at a step downstream of steps mediated by Pex28p and Pex29p,Peroxisomal integral membrane protein; i...,True,True,blue
SMP1,4.21,1.43,6.78,2.39,3.32,3.48,3.3,1.86,3.49,1.86,4.72,2.33,6.41,2.87,YBR182C,"Putative transcription factor of the MADS-box family; involved in regulating the response to osmotic stress; SMP1 has a paralog, RLM1, that arose from the whole genome duplication",Putative transcription factor of the MAD...,False,False,blue
AIM4,19.87,4.28,31.82,13.59,14.14,16.35,19.58,10.41,18.94,8.28,20.05,11.67,26.2,10.49,YBR194W,"Protein proposed to be associated with the nuclear pore complex; null mutant is viable, displays elevated frequency of mitochondrial genome loss and is sensitive to freeze-thaw stress",Protein proposed to be associated with t...,False,True,blue
MCM7,36.74,10.07,38.94,13.89,34.42,31.79,35.32,25.13,34.27,13.88,37.54,13.75,32.52,16.14,YBR202W,Component of the Mcm2-7 hexameric helicase complex; MCM2-7 primes origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation in S-phase; forms an Mcm4p-6p-7p subcomplex,Component of the Mcm2-7 hexameric helica...,False,False,blue
YBP1,22.33,8.71,30.33,14.45,18.73,18.19,23.04,16.97,19.66,13.39,22.68,13.2,28.96,16.44,YBR216C,"Protein involved in cellular response to oxidative stress; required for oxidation of specific cysteine residues of transcription factor Yap1p, resulting in nuclear localization of Yap1p in response to stress; YBP1 has a paralog, YBP2, that arose from the whole genome duplication",Protein involved in cellular response to...,False,True,blue
ROT2,41.08,259.52,40.56,234.45,41.49,36.64,43.95,147.43,39.4,313.26,42.26,253.71,29.96,115.12,YBR229C,"Glucosidase II catalytic subunit; required for normal cell wall synthesis; mutations in rot2 suppress tor2 mutations, and are synthetically lethal with rot1 mutations",Glucosidase II catalytic subunit; requir...,True,False,blue
THI2,1.89,1.16,3.12,2.93,1.5,1.24,1.89,2.1,1.25,2.52,1.47,2.9,2.2,2.62,YBR240C,"Transcriptional activator of thiamine biosynthetic genes; interacts with regulatory factor Thi3p to control expression of thiamine biosynthetic genes with respect to thiamine availability; acts together with Pdc2p to respond to thiaminediphosphate demand, possibly as related to carbon source availability; zinc finger protein of the Zn(II)2Cys6 type",Transcriptional activator of thiamine bi...,False,True,blue
DUT1,170.76,60.21,182.67,76.26,160.33,176.86,147.17,85.89,166.56,70.89,172.72,99.74,136.04,63.61,YBR252W,"deoxyuridine triphosphate diphosphatase (dUTPase); catalyzes hydrolysis of dUTP to dUMP and PPi, thereby preventing incorporation of uracil into DNA during replication; critical for the maintenance of genetic stability; also has diphosphatase activity on deoxyinosine triphosphate",deoxyuridine triphosphate diphosphatase ...,False,False,blue
SHM1,212.23,80.46,135.21,54.14,256.47,238.65,236.07,174.9,263.16,125.58,243.29,100.74,175.79,115.1,YBR263W,"Mitochondrial serine hydroxymethyltransferase; converts serine to glycine plus 5,10 methylenetetrahydrofolate; involved in generating precursors for purine, pyrimidine, amino acid, and lipid biosynthesis; reverse reaction generates serine",Mitochondrial serine hydroxymethyltransf...,False,True,blue
PPS1,7.88,3.49,11.12,5.34,6.58,5.97,8.05,6,6.63,4.8,7.94,4.32,11.72,7.19,YBR276C,"Protein phosphatase; has specificity for serine, threonine, and tyrosine residues; has a role in the DNA synthesis phase of the cell cycle",Protein phosphatase; has specificity for...,False,False,blue
SNF5,21.35,6.04,26.97,10.33,19.75,18.89,21.31,13.87,18.92,8.41,20.87,9.91,24.01,13.92,YBR289W,Subunit of the SWI/SNF chromatin remodeling complex; involved in transcriptional regulation; functions interdependently in transcriptional activation with Snf2p and Snf6p; relocates to the cytosol under hypoxic conditions,Subunit of the SWI/SNF chromatin remodel...,False,True,blue
PAU24,0.44,0,0.07,0.07,0.16,0.12,0.26,0,0,0.23,0.06,0,0.26,0,YBR301W,"Cell wall mannoprotein; has similarity to Tir1p, Tir2p, Tir3p, and Tir4p; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expressed under anaerobic conditions, completely repressed during aerobic growth",Cell wall mannoprotein; has similarity t...,True,False,blue
YCL002C,12.48,29.33,15.34,33.74,11.39,7.64,9.24,21.01,8.33,26.72,10.98,22.25,10.56,21.77,YCL002C,Putative protein of unknown function; YCL002C is not an essential gene,Putative protein of unknown function; YC...,True,True,blue
LEU2,0.39,4.65,10.87,3.54,395.85,415.45,0,0,0,0,4.19,1.36,0,0,YCL018W,Beta-isopropylmalate dehydrogenase (IMDH); catalyzes the third step in the leucine biosynthesis pathway; can additionally catalyze the conversion of &#946;-ethylmalate into &#945;-ketovalerate,Beta-isopropylmalate dehydrogenase (IMDH...,False,False,blue
MXR2,62.47,25.87,65.85,32.68,61.57,72.37,62.26,40.82,66.29,25.34,61.19,29.83,75.5,39.68,YCL033C,Methionine-R-sulfoxide reductase; involved in the response to oxidative stress; protects iron-sulfur clusters from oxidative inactivation along with MXR1; involved in the regulation of lifespan,Methionine-R-sulfoxide reductase; involv...,False,True,blue
POF1,27.1,10.89,33.39,13.53,23.29,20.39,23.24,15.31,19.78,11,24.96,11.88,31.26,17.32,YCL047C,ATPase involved in protein quality control and filamentation pathways; interacts physically with Kss1p and suppresses the filamentation defect of a kss1 deletion; also interacts with Ubc7p,ATPase involved in protein quality contr...,False,False,blue
ADF1,30.39,8.04,25.87,12.92,23.43,27.51,40.66,26.01,42.36,15.45,32.44,21.57,14.39,10.6,YCL058W-A,Transcriptional repressor encoded by the FYV5 antisense strand; negatively regulates transcription of FYV5 by binding to the promoter on the sense strand,Transcriptional repressor encoded by the...,False,True,blue
ADP1,50.73,260.24,66.67,383.85,44.58,40.62,48.4,148.1,40.91,221.51,45.65,244.07,59.58,236.18,YCR011C,Putative ATP-dependent permease of the ABC transporter family,Putative ATP-dependent permease of the A...,True,False,blue
YCR023C,12.58,32.06,17.83,48.95,11.67,8.67,12.33,26,10.94,35.24,14.12,32.24,14.73,29.09,YCR023C,Vacuolar membrane protein of unknown function; member of the multidrug resistance family; YCR023C is not an essential gene,Vacuolar membrane protein of unknown fun...,True,True,blue
FEN1,259.2,1515.55,232.38,1121.49,292.64,252.11,243.99,719.41,234.16,1212.47,287.25,800.54,246.23,850.96,YCR034W,"Fatty acid elongase, involved in sphingolipid biosynthesis; acts on fatty acids of up to 24 carbons in length; mutations have regulatory effects on 1,3-beta-glucan synthase, vacuolar ATPase, and the secretory pathway; FEN1 has a paralog, ELO1, that arose from the whole genome duplication","Fatty acid elongase, involved in sphingo...",True,False,blue
BUD23,32.81,11.66,20.68,10.8,37.2,37.19,37.39,33.3,51.69,22,39.85,20.99,22.23,17.2,YCR047C,Methyltransferase; methylates residue G1575 of 18S rRNA; required for rRNA processing and nuclear export of 40S ribosomal subunits independently of methylation activity; diploid mutant displays random budding pattern,Methyltransferase; methylates residue G1...,False,True,blue
HCM1,47.43,14.13,69.42,24.75,38.67,44.62,36.76,22.39,34.2,15.87,44.61,22.52,50.33,20.83,YCR065W,"Forkhead transcription factor; drives S-phase specific expression of genes involved in chromosome segregation, spindle dynamics, and budding; suppressor of calmodulin mutants with specific SPB assembly defects; telomere maintenance role",Forkhead transcription factor; drives S-...,False,False,blue
PAT1,76.81,20.66,73.36,26.97,78.94,81.79,76.11,51.23,76.89,25.7,75.31,25.88,79.33,38.68,YCR077C,"Deadenylation-dependent mRNA-decapping factor; also required for faithful chromosome transmission, maintenance of rDNA locus stability, and protection of mRNA 3'-UTRs from trimming; associated with topoisomerase II; functionally linked to Pab1p; forms cytoplasmic foci upon DNA replication stress; phosphorylation by PKA inhibits P body foci formation",Deadenylation-dependent mRNA-decapping f...,False,True,blue
MSH3,11.88,2.11,13.22,4.47,9.76,9.6,11.53,6.71,11.39,4.66,10.52,4.02,13.78,6.32,YCR092C,"Mismatch repair protein; forms dimers with Msh2p that mediate repair of insertion or deletion mutations and removal of nonhomologous DNA ends, contains a PCNA (Pol30p) binding motif required for genome stability",Mismatch repair protein; forms dimers wi...,False,False,blue
PAU3,0,0.13,0,0,0,0.23,0,0.15,0,0,0,0,0,0,YCR104W,Member of the seripauperin multigene family; encoded mainly in subtelomeric region; active during alcoholic fermentation; regulated by anaerobiosis; negatively regulated by oxygen; repressed by heme,Member of the seripauperin multigene fam...,True,True,blue
RPT2,186.7,46.19,189.71,90.05,160.87,154.23,209.15,147.68,201.63,93.79,152.93,83.2,244.76,136.52,YDL007W,ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; required for normal peptide hydrolysis by the core 20S particle; N-myristoylation of Rpt2p at Gly2 is involved in regulating the proper intracellular distribution of proteasome activity by controlling the nuclear localization of the 26S proteasome,ATPase of the 19S regulatory particle of...,False,False,blue
RPN4,46.39,8.63,66.96,23.52,41.36,45.52,47.73,31.17,35.81,17.82,38.97,19,60.43,29.45,YDL020C,Transcription factor that stimulates expression of proteasome genes; Rpn4p levels are in turn regulated by the 26S proteasome in a negative feedback control mechanism; RPN4 is transcriptionally regulated by various stress responses; relative distribution to the nucleus increases upon DNA replication stress,Transcription factor that stimulates exp...,False,True,blue
GPR1,10.76,39.96,16.24,47.93,11.3,10.73,12.47,34.32,11.79,52.27,12.58,41.82,12.64,39.08,YDL035C,"Plasma membrane G protein coupled receptor (GPCR); interacts with the heterotrimeric G protein alpha subunit, Gpa2p, and with Plc1p; sensor that integrates nutritional signals with the modulation of cell fate via PKA and cAMP synthesis",Plasma membrane G protein coupled recept...,True,False,blue
STP4,5.15,1.53,7.07,2.91,2.61,3.02,2.7,1.74,2.98,1.23,4.43,2.27,3.43,1.22,YDL048C,"Protein containing a Kruppel-type zinc-finger domain; similar to Stp1p, Stp2p; predicted transcription factor; relative distribution to the nucleus increases upon DNA replication stress; STP4 has a paralog, STP3, that arose from the whole genome duplication",Protein containing a Kruppel-type zinc-f...,False,True,blue
RPS29B,3126.19,1275.01,2206.04,1409.9,3039.19,3021.47,2567.8,1628.11,2992.24,1422.19,2713.46,2105.44,2210.71,1222.16,YDL061C,"Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S29 and bacterial S14; RPS29B has a paralog, RPS29A, that arose from the whole genome duplication",Protein component of the small (40S) rib...,False,False,blue
RXT3,37.41,12.52,62.67,25.17,30.14,29.58,32.85,22.78,28.26,12.78,37.35,19.79,38.7,23.06,YDL076C,Component of the Rpd3L histone deacetylase complex; involved in histone deacetylation; protein abundance increases in response to DNA replication stress,Component of the Rpd3L histone deacetyla...,False,True,blue
LUC7,18.59,4.61,28.9,15.39,13.48,14.65,14.53,7.76,14.88,6.52,14.43,9.45,20.02,9.15,YDL087C,Essential protein associated with the U1 snRNP complex; splicing factor involved in recognition of 5' splice site; contains two zinc finger motifs; N-terminal zinc finger binds pre-mRNA; relocalizes to the cytosol in response to hypoxia,Essential protein associated with the U1...,False,False,blue
DUN1,24.52,5.76,28.82,9.62,19.5,22.41,22.65,13.83,19.92,10.08,22.04,11.12,28.07,13.29,YDL101C,"Cell-cycle checkpoint serine-threonine kinase; required for DNA damage-induced transcription of certain target genes, phosphorylation of Rad55p and Sml1p, and transient G2/M arrest after DNA damage; Mec1p and Dun1p function in same pathway to regulate both dNTP pools and telomere length; also regulates postreplicative DNA repair",Cell-cycle checkpoint serine-threonine k...,False,True,blue
ATG20,13.89,3.84,21.8,6.88,10.34,10.98,12.72,8.77,12.7,5.09,12.56,4.97,18.77,8.64,YDL113C,Sorting nexin family member; required for the cytoplasm-to-vacuole targeting (Cvt) pathway and for endosomal sorting; has a Phox homology domain that binds phosphatidylinositol-3-phosphate; interacts with Snx4p; potential Cdc28p substrate,Sorting nexin family member; required fo...,False,False,blue
CDC48,576.23,157.58,695.9,242.93,547.68,573.77,644.53,437.57,642.69,237.78,559.68,209.09,761.79,362.26,YDL126C,"AAA ATPase; subunit of polyubiquitin-selective segregase complex involved in ERAD, cell wall integrity during heat stress, mitotic spindle disassembly; subunit of complex involved in mitochondria-associated degradation; role in mobilizing membrane bound transcription factors by regulated ubiquitin/proteasome-dependent processing, in macroautophagy, PMN, RAD, ribophagy, homotypic ER membrane fusion, disassembly of Met30p from SCF complex, functional ortholog of human p97/VCP",AAA ATPase; subunit of polyubiquitin-sel...,False,True,blue
RPL35B,424.37,122.73,337.74,210.3,360.92,394.6,465.79,283.82,373.38,218.85,365.77,278.57,377.87,172.38,YDL136W,"Ribosomal 60S subunit protein L35B; homologous to mammalian ribosomal protein L35 and bacterial L29; RPL35B has a paralog, RPL35A, that arose from the whole genome duplication",Ribosomal 60S subunit protein L35B; homo...,False,False,blue
NOP14,33.09,7.18,15.42,6.67,35.32,34.66,45.93,28.08,46.32,18.15,42.72,15.2,24.08,11.76,YDL148C,"Nucleolar protein; forms a complex with Noc4p that mediates maturation and nuclear export of 40S ribosomal subunits; also present in the small subunit processome complex, which is required for processing of pre-18S rRNA",Nucleolar protein; forms a complex with ...,False,True,blue
ENT1,54.61,13.61,74.49,27.04,50.84,54.34,54.99,37.12,56.55,20.85,55.35,23.36,70.99,28.54,YDL161W,"Epsin-like protein involved in endocytosis and actin patch assembly; functionally redundant with Ent2p; binds clathrin via a clathrin-binding domain motif at C-terminus; relocalizes from bud neck to cytoplasm upon DNA replication stress; ENT1 has a paralog, ENT2, that arose from the whole genome duplication",Epsin-like protein involved in endocytos...,False,False,blue
